runId,scenario,variant,repeat,tick,side,actor,opponent,action,attack,distance,score,visits,healthDiff,actorCooldown,opponentCooldown,actorHealth,opponentHealth,actorX,actorZ,opponentX,opponentZ,forward,sprint,jump,strafeLeft,strafeRight,back
standard-mcts-r1,Standard MCTS run 1,Standard MCTS,1,13,right,Bravo,Alpha,advance,false,3.527,46.466,6,0,0,0,20,20,1.806,0.163,-1.707,-0.154,true,false,false,false,false,false
standard-mcts-r1,Standard MCTS run 1,Standard MCTS,1,14,left,Alpha,Bravo,jump-sprint,false,3.263,51.766,28,0,0,0,20,20,-1.444,-0.131,1.806,0.163,true,true,false,false,false,false
standard-mcts-r1,Standard MCTS run 1,Standard MCTS,1,14,right,Bravo,Alpha,close-attack,false,3.041,32.135,24,0,0,0,20,20,1.586,0.143,-1.444,-0.131,true,false,false,false,false,false
standard-mcts-r1,Standard MCTS run 1,Standard MCTS,1,15,left,Alpha,Bravo,close-attack,true,2.799,59.753,2,0,0,0,20,20,-1.202,-0.109,1.586,0.143,true,false,false,false,false,false
standard-mcts-r1,Standard MCTS run 1,Standard MCTS,1,15,right,Bravo,Alpha,close-attack,true,2.678,41.303,2,-4,0,10,16,20,1.465,0.132,-1.202,-0.109,false,false,false,false,false,false
standard-mcts-r1,Standard MCTS run 1,Standard MCTS,1,16,left,Alpha,Bravo,advance,false,2.448,54.149,7,0,9,10,16,16,-0.973,-0.088,1.465,0.132,true,false,false,false,false,false
standard-mcts-r1,Standard MCTS run 1,Standard MCTS,1,16,right,Bravo,Alpha,sprint-advance,false,2.254,29.59,6,0,9,9,16,16,1.273,0.115,-0.973,-0.088,true,true,false,false,false,false
standard-mcts-r1,Standard MCTS run 1,Standard MCTS,1,17,left,Alpha,Bravo,advance,false,2.031,44.554,8,0,8,9,16,16,-0.75,-0.068,1.273,0.115,true,false,false,false,false,false
standard-mcts-r1,Standard MCTS run 1,Standard MCTS,1,17,right,Bravo,Alpha,sprint-advance,false,1.798,19.911,6,0,8,8,16,16,1.04,0.094,-0.75,-0.068,true,true,false,false,false,false
standard-mcts-r1,Standard MCTS run 1,Standard MCTS,1,18,left,Alpha,Bravo,sprint-advance,false,1.548,35.592,8,0,7,8,16,16,-0.501,-0.045,1.04,0.094,true,true,false,false,false,false
standard-mcts-r1,Standard MCTS run 1,Standard MCTS,1,18,right,Bravo,Alpha,sprint-advance,false,1.293,8.937,6,0,7,7,16,16,0.787,0.071,-0.501,-0.045,true,true,false,false,false,false
standard-mcts-r1,Standard MCTS run 1,Standard MCTS,1,19,left,Alpha,Bravo,jump-advance,false,1.059,29.33,25,0,6,7,16,16,-0.268,-0.024,0.787,0.071,true,false,false,false,false,false
standard-mcts-r1,Standard MCTS run 1,Standard MCTS,1,19,right,Bravo,Alpha,sprint-advance,false,0.793,0.034,6,0,6,6,16,16,0.522,0.047,-0.268,-0.024,true,true,false,false,false,false
standard-mcts-r1,Standard MCTS run 1,Standard MCTS,1,20,left,Alpha,Bravo,advance,false,0.567,31.166,33,0,5,6,16,16,-0.043,-0.004,0.522,0.047,true,false,false,false,false,false
standard-mcts-r1,Standard MCTS run 1,Standard MCTS,1,20,right,Bravo,Alpha,sprint-advance,false,0.294,-9.657,7,0,5,5,16,16,0.25,0.022,-0.043,-0.004,true,true,false,false,false,false
standard-mcts-r1,Standard MCTS run 1,Standard MCTS,1,21,left,Alpha,Bravo,sprint-advance,false,0.043,30.338,10,0,4,5,16,16,0.207,0.019,0.25,0.022,true,true,false,false,false,false
standard-mcts-r1,Standard MCTS run 1,Standard MCTS,1,21,right,Bravo,Alpha,sprint-advance,false,0.233,-29.543,7,0,4,4,16,16,-0.025,-0.002,0.207,0.019,true,true,false,false,false,false
standard-mcts-r1,Standard MCTS run 1,Standard MCTS,1,22,left,Alpha,Bravo,sprint-advance,false,0.243,32.751,8,0,3,4,16,16,0.216,0.019,-0.025,-0.002,true,true,false,false,false,false
standard-mcts-r1,Standard MCTS run 1,Standard MCTS,1,22,right,Bravo,Alpha,sprint-advance,false,0.266,-43.58,6,0,3,3,16,16,-0.049,-0.005,0.216,0.019,true,true,false,false,false,false
