runId,scenario,variant,repeat,tick,distance,alphaHealth,bravoHealth,attacksThisTick,lastAction
standard-mcts-r1,Standard MCTS run 1 vs balanced opponent,Standard MCTS,1,48,0.143,3,4,0,sprint-advance
standard-mcts-r1,Standard MCTS run 1 vs balanced opponent,Standard MCTS,1,49,0.159,3,4,0,sprint-advance
standard-mcts-r1,Standard MCTS run 1 vs balanced opponent,Standard MCTS,1,50,0.167,3,4,0,sprint-advance
standard-mcts-r1,Standard MCTS run 1 vs balanced opponent,Standard MCTS,1,51,0.172,3,4,0,sprint-advance
standard-mcts-r1,Standard MCTS run 1 vs balanced opponent,Standard MCTS,1,52,0.174,3,4,0,sprint-advance
standard-mcts-r1,Standard MCTS run 1 vs balanced opponent,Standard MCTS,1,53,0.175,3,4,0,sprint-advance
standard-mcts-r1,Standard MCTS run 1 vs balanced opponent,Standard MCTS,1,54,0.206,3,4,0,sprint-advance
standard-mcts-r1,Standard MCTS run 1 vs balanced opponent,Standard MCTS,1,55,0.193,3,4,0,advance
standard-mcts-r1,Standard MCTS run 1 vs balanced opponent,Standard MCTS,1,56,0.186,3,4,0,advance
standard-mcts-r1,Standard MCTS run 1 vs balanced opponent,Standard MCTS,1,57,0.211,3,4,0,sprint-advance
standard-mcts-r1,Standard MCTS run 1 vs balanced opponent,Standard MCTS,1,58,0.086,3,4,1,close-attack
standard-mcts-r2,Standard MCTS run 2 vs defensive opponent,Standard MCTS,2,1,8.389,20,21,0,sprint-advance
standard-mcts-r2,Standard MCTS run 2 vs defensive opponent,Standard MCTS,2,2,8.292,20,21,0,sprint-advance
standard-mcts-r2,Standard MCTS run 2 vs defensive opponent,Standard MCTS,2,3,7.949,20,21,0,sprint-advance
standard-mcts-r2,Standard MCTS run 2 vs defensive opponent,Standard MCTS,2,4,7.507,20,21,0,sprint-advance
standard-mcts-r2,Standard MCTS run 2 vs defensive opponent,Standard MCTS,2,5,7.011,20,21,0,sprint-advance
standard-mcts-r2,Standard MCTS run 2 vs defensive opponent,Standard MCTS,2,6,6.485,20,21,0,sprint-advance
standard-mcts-r2,Standard MCTS run 2 vs defensive opponent,Standard MCTS,2,7,5.943,20,21,0,sprint-advance
standard-mcts-r2,Standard MCTS run 2 vs defensive opponent,Standard MCTS,2,8,5.393,20,21,0,sprint-advance
standard-mcts-r2,Standard MCTS run 2 vs defensive opponent,Standard MCTS,2,9,4.896,20,21,0,jump-advance
standard-mcts-r2,Standard MCTS run 2 vs defensive opponent,Standard MCTS,2,10,4.429,20,21,0,close-attack
standard-mcts-r2,Standard MCTS run 2 vs defensive opponent,Standard MCTS,2,11,3.948,20,21,0,advance
standard-mcts-r2,Standard MCTS run 2 vs defensive opponent,Standard MCTS,2,12,3.431,20,21,0,sprint-advance
standard-mcts-r2,Standard MCTS run 2 vs defensive opponent,Standard MCTS,2,13,2.953,20,21,0,advance
standard-mcts-r2,Standard MCTS run 2 vs defensive opponent,Standard MCTS,2,14,2.692,20,17,2,close-attack
standard-mcts-r2,Standard MCTS run 2 vs defensive opponent,Standard MCTS,2,15,2.324,16,17,0,sprint-advance
standard-mcts-r2,Standard MCTS run 2 vs defensive opponent,Standard MCTS,2,16,1.897,16,17,0,sprint-advance
standard-mcts-r2,Standard MCTS run 2 vs defensive opponent,Standard MCTS,2,17,1.41,16,17,0,sprint-advance
standard-mcts-r2,Standard MCTS run 2 vs defensive opponent,Standard MCTS,2,18,0.889,16,17,0,sprint-advance
standard-mcts-r2,Standard MCTS run 2 vs defensive opponent,Standard MCTS,2,19,0.408,16,17,0,advance
standard-mcts-r2,Standard MCTS run 2 vs defensive opponent,Standard MCTS,2,20,0.109,16,17,0,sprint-advance
standard-mcts-r2,Standard MCTS run 2 vs defensive opponent,Standard MCTS,2,21,0.136,16,17,0,sprint-advance
standard-mcts-r2,Standard MCTS run 2 vs defensive opponent,Standard MCTS,2,22,0.103,16,17,0,sprint-advance
standard-mcts-r2,Standard MCTS run 2 vs defensive opponent,Standard MCTS,2,23,0.01,16,17,0,advance
standard-mcts-r2,Standard MCTS run 2 vs defensive opponent,Standard MCTS,2,24,0.069,16,17,0,advance
standard-mcts-r2,Standard MCTS run 2 vs defensive opponent,Standard MCTS,2,25,0.112,16,13,2,close-attack
standard-mcts-r2,Standard MCTS run 2 vs defensive opponent,Standard MCTS,2,26,0.12,12,13,0,sprint-advance
standard-mcts-r2,Standard MCTS run 2 vs defensive opponent,Standard MCTS,2,27,0.033,12,13,0,sprint-advance
standard-mcts-r2,Standard MCTS run 2 vs defensive opponent,Standard MCTS,2,28,0.043,12,13,0,sprint-advance
standard-mcts-r2,Standard MCTS run 2 vs defensive opponent,Standard MCTS,2,29,0.081,12,13,0,sprint-advance
standard-mcts-r2,Standard MCTS run 2 vs defensive opponent,Standard MCTS,2,30,0.075,12,13,0,advance
standard-mcts-r2,Standard MCTS run 2 vs defensive opponent,Standard MCTS,2,31,0.071,12,13,0,sprint-advance
